Zone/Quadrant,Neighbourhood,Airport access,Healthcare access,Closest major area,University access,Downtown access,Car dependency level,Newcomers support access,Crime rate category,Primary demographic,Affordability,Walkability,Transit access,Safety perception,Nightlife/social,Family friendly,Parks/green space,Diversity level,Religious/cultural access,Church access,Mosque access,Temple/Gurdwara access,Cultural grocery access,Elementary schools count,Middle/Jr high schools count,High schools count,Community vibe,Best for,Avg 1BR Rent,Average Mortgage Payment,Avg Home Price,Affordability Score,Winter Walkability,Transit Type,Noise Level,Parking Availability,Grocery Store Access,Coffee Shop Density,Fitness & Wellness,Student Friendly,Community Center,Suburban or City-Like,Key Tradeoffs,MVP Score,Recommendation Tier,Affordability Band,Main Risk Category,Primary Matching Drivers,Data Confidence,Urban Form,Needs Validation,Density,Lifestyle identity
Downtown,Beltline,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0,0,1,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,CTrain & Bus,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Bridgeland/Riverside,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,1,0,1,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,CTrain & Bus,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Chinatown,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0,1,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,Bus-focused,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Cliff Bungalow,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,1,1,1,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,Bus-focused,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Crescent Heights,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,1,0,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,Bus-focused,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Downtown Commercial Core,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,1,0,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,CTrain & Bus,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Downtown East Village,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,1,1,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,CTrain & Bus,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Downtown West End,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0,1,1,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,CTrain & Bus,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Eau Claire,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.8,0.5,0.8,0.8,0.8,0.8,0.8,1,0,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,Bus-focused,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,95,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, green space, cultural access, family fit",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Erlton,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0,1,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,CTrain & Bus,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
