Zone/Quadrant,Neighbourhood,Airport access,Healthcare access,Closest major area,University access,Downtown access,Car dependency level,Newcomers support access,Crime rate category,Primary demographic,Affordability,Walkability,Transit access,Safety perception,Nightlife/social,Family friendly,Parks/green space,Diversity level,Religious/cultural access,Church access,Mosque access,Temple/Gurdwara access,Cultural grocery access,Elementary schools count,Middle/Jr high schools count,High schools count,Community vibe,Best for,Avg 1BR Rent,Average Mortgage Payment,Avg Home Price,Affordability Score,Winter Walkability,Transit Type,Noise Level,Parking Availability,Grocery Store Access,Coffee Shop Density,Fitness & Wellness,Student Friendly,Community Center,Suburban or City-Like,Key Tradeoffs,MVP Score,Recommendation Tier,Affordability Band,Main Risk Category,Primary Matching Drivers,Data Confidence,Urban Form,Needs Validation,Density,Lifestyle identity
Downtown,Beltline,Medium,High,Downtown Core / Beltline,Medium,High,Low,High,Lower reported crime risk,Young professionals,High,High,Medium,High,Medium,High,Medium,Medium,High,High,High,High,High,0,0,1,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,High,CTrain & Bus,High,Low,High,High,High,Low,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Bridgeland/Riverside,Medium,High,Downtown Core / Beltline,Medium,High,Low,High,Lower reported crime risk,Young professionals,High,High,Medium,High,Medium,High,Medium,Medium,High,High,High,High,High,1,0,1,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,High,CTrain & Bus,High,Low,High,High,High,Low,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Chinatown,Medium,High,Downtown Core / Beltline,Medium,High,Low,High,Lower reported crime risk,Young professionals,High,High,Medium,High,Medium,High,Medium,Medium,High,High,High,High,High,0,1,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,High,Bus-focused,High,Low,High,High,High,Low,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Cliff Bungalow,Medium,High,Downtown Core / Beltline,Medium,High,Low,High,Lower reported crime risk,Young professionals,High,High,Medium,High,Medium,High,Medium,Medium,High,High,High,High,High,1,1,1,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,High,Bus-focused,High,Low,High,High,High,Low,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Crescent Heights,Medium,High,Downtown Core / Beltline,Medium,High,Low,High,Lower reported crime risk,Young professionals,High,High,Medium,High,Medium,High,Medium,Medium,High,High,High,High,High,1,0,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,High,Bus-focused,High,Low,High,High,High,Low,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Downtown Commercial Core,Medium,High,Downtown Core / Beltline,Medium,High,Low,High,Lower reported crime risk,Young professionals,High,High,Medium,High,Medium,High,Medium,Medium,High,High,High,High,High,1,0,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,High,CTrain & Bus,High,Low,High,High,High,Low,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Downtown East Village,Medium,High,Downtown Core / Beltline,Medium,High,Low,High,Lower reported crime risk,Young professionals,High,High,Medium,High,Medium,High,Medium,Medium,High,High,High,High,High,1,1,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,High,CTrain & Bus,High,Low,High,High,High,Low,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Downtown West End,Medium,High,Downtown Core / Beltline,Medium,High,Low,High,Lower reported crime risk,Young professionals,High,High,Medium,High,Medium,High,Medium,Medium,High,High,High,High,High,0,1,1,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,High,CTrain & Bus,High,Low,High,High,High,Low,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Eau Claire,Medium,High,Downtown Core / Beltline,Medium,High,Low,High,Lower reported crime risk,Young professionals,High,High,Medium,High,Medium,High,High,Medium,High,High,High,High,High,1,0,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,High,Bus-focused,High,Low,High,High,High,Low,Yes,City-like,Higher noise,95,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, green space, cultural access, family fit",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Erlton,Medium,High,Downtown Core / Beltline,Medium,High,Low,High,Lower reported crime risk,Young professionals,High,High,Medium,High,Medium,High,Medium,Medium,High,High,High,High,High,0,1,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,High,CTrain & Bus,High,Low,High,High,High,Low,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
